411 4075 4567 21815 30963 32719 32720 
683 1379 7680 30734 31323 32720 32721 
1928 6133 26344 31542 31683 32721 32722 
3717 8498 14626 24646 32043 32722 32723 
3 1153 2431 2981 30193 32723 32724 
363 9016 11158 19278 32037 32724 32725 
723 2179 10267 11131 15472 32725 32726 
1083 1272 4577 9415 21857 32726 32727 
1443 1484 8436 10747 12684 32727 32728 
1803 6378 10691 16114 19629 32728 32729 
2163 4324 7612 13681 20583 32729 32730 
2523 4341 11300 22245 25268 32730 32731 
2883 4615 4653 12865 23562 32731 32732 
643 690 3243 10479 12471 32732 32733 
1263 3603 6772 8319 12018 32733 32734 
3963 4830 6380 17009 25993 32734 32735 
2630 4323 5711 8652 29446 32735 32736 
3357 4683 10892 12371 17973 32736 32737 
2328 5043 11276 11677 15785 32737 32738 
5403 7938 9597 28665 30515 32738 32739 
459 4798 5763 7547 11746 32739 32740 
809 6123 6319 8719 10381 32740 32741 
1075 6483 12430 14136 19219 32741 32742 
6659 6843 9753 12885 22467 32742 32743 
3298 3416 7203 7999 27233 32743 32744 
7563 8066 8291 25100 28069 32744 32745 
5200 7923 9481 10514 19530 32745 32746 
2758 8283 8747 10191 13162 32746 32747 
4892 5488 8643 14947 15891 32747 32748 
982 8040 9003 17444 29873 32748 32749 
1020 4712 9363 23305 28807 32749 32750 
5880 9723 12350 26159 27390 32750 32751 
204 3316 10083 12436 19809 32751 32752 
2726 9721 10443 12026 22668 32752 32753 
4134 6837 10201 10803 24874 32753 32754 
3366 3801 10469 11163 12177 32754 32755 
2911 8525 11187 11523 11559 32755 32756 
4064 9010 11883 15247 30362 32756 32757 
1986 2876 5610 12243 20302 32757 32758 
65 6987 11525 12603 15682 32758 32759 
9424 9825 11097 12964 26823 32759 32760 
3903 3914 7278 13324 14970 32760 32761 
1773 6110 9766 13684 18586 32761 32762 
822 2455 5857 14044 24492 32762 32763 
3287 8765 12208 14404 29606 32763 32764 
1292 4790 8868 10955 14764 32764 32765 
